"rep","n","probs","quants","tail","model","uwd1","uwd2","width_mu","width_sigma","width_n","cover90_mu","cover90_sigma","cover90_n"
5,150,1,3,0,"ord",0.0300527845715676,0.000947758012878818,1.607959,1.655185,288.3255,1,1,1
5,150,1,3,0,"ind",0.0237088981489681,0.000813047728814063,2.946599,3.944058,NA,1,1,NA
5,150,1,3,0,"kern",0.0463905357351015,0.00203203464939694,NA,NA,NA,NA,NA,NA
5,150,1,3,0,"spline",0.0909384151346181,0.00867657045492468,NA,NA,NA,NA,NA,NA
5,500,1,3,0,"cltn",0.00897971022956304,9.14180591957653e-05,0.554835,0.5906615,NA,1,1,NA
5,500,1,3,0,"ordn",0.00897971022956304,9.14180591957653e-05,0.565817,0.6064655,NA,1,1,NA
5,500,1,3,0,"clt",0.00634009642022636,4.38034592268529e-05,0.6644935,0.716998,1793.71137,1,1,1
5,500,1,3,0,"ord",0.010749705991545,0.000118129384556229,0.7217235,0.748905,1691.452975,1,1,1
5,500,1,3,0,"ind",0.0374861736905941,0.00177306519238168,2.18697,3.443845,NA,1,1,NA
5,500,1,3,0,"kern",0.0180937848991374,0.000302443640680331,NA,NA,NA,NA,NA,NA
5,500,1,3,0,"spline",0.10189481538029,0.0104260377889727,NA,NA,NA,NA,NA,NA
5,1000,1,3,0,"cltn",0.0163684305674574,0.000234014947876444,0.3877355,0.4214045,NA,1,1,NA
5,1000,1,3,0,"ordn",0.0163684305674574,0.000234014947876444,0.4051635,0.4274635,NA,1,1,NA
5,1000,1,3,0,"clt",0.00852242102429716,7.7894405337625e-05,0.2695,0.2928765,6041.7421,1,1,1
5,1000,1,3,0,"ord",0.00660522892876108,4.1429695274199e-05,0.2929995,0.3192225,5881.8856,1,1,1
5,1000,1,3,0,"ind",0.0220187969112495,0.000551432197816638,1.648398,2.619868,NA,1,1,NA
5,1000,1,3,0,"kern",0.0107448863741773,0.000114020252678608,NA,NA,NA,NA,NA,NA
5,1000,1,3,0,"spline",0.1064990050851,0.0113672474635218,NA,NA,NA,NA,NA,NA
6,50,1,3,0,"cltn",0.0141525476643709,0.00027294718644143,1.628191,1.690722,NA,1,1,NA
6,50,1,3,0,"ordn",0.0141525476643709,0.00027294718644143,1.712699,1.829422,NA,1,1,NA
6,50,1,3,0,"clt",0.0134493485830925,0.000174665555578354,0.284447,0.2864195,6106.3219,1,1,0
6,50,1,3,0,"ord",0.0125217712749562,0.000214588197529852,0.256967,0.2952655,6193.85675,1,1,0
6,50,1,3,0,"ind",0.0270983972665267,0.000955924527093346,1.23367,2.24977,NA,1,1,NA
6,50,1,3,0,"kern",0.0106326252880213,9.86190433672803e-05,NA,NA,NA,NA,NA,NA
6,50,1,3,0,"spline",0.115076173390427,0.0131792391246507,NA,NA,NA,NA,NA,NA
6,150,1,3,0,"cltn",0.0475342447213934,0.00210807481266906,0.994213,1.088545,NA,1,1,NA
6,150,1,3,0,"ordn",0.0475342447213934,0.00210807481266906,1.022716,1.087292,NA,1,1,NA
6,150,1,3,0,"clt",0.0348297288816189,0.00102832997584934,0.3111925,0.3414645,4924.68315,0,1,0
6,150,1,3,0,"ord",0.0447568935654356,0.00189848582148224,0.316282,0.342521,4637.52455,0,1,0
6,150,1,3,0,"ind",0.0580235840945209,0.00357458382094208,1.778006,2.798076,NA,1,1,NA
6,150,1,3,0,"kern",0.0427023146844039,0.00177852695735634,NA,NA,NA,NA,NA,NA
6,150,1,3,0,"spline",0.11912241425169,0.0139222763231583,NA,NA,NA,NA,NA,NA
6,150,2,9,0,"cltn",0.047361244016222,0.00194120932116565,0.9648295,0.7805015,NA,1,1,NA
6,150,2,9,0,"ordn",0.047361244016222,0.00194120932116565,0.971207,0.8067445,NA,1,1,NA
6,150,2,9,0,"clt",0.0482112653215956,0.00211309568955088,0.7516745,0.6146275,460.2354,1,1,1
6,150,2,9,0,"ord",0.0310599786404437,0.000868391386703445,0.733829,0.596468,475.29685,1,1,1
6,150,2,9,0,"ind",0.0458313751920648,0.00186886372304283,0.2270905,0.3065455,NA,0,1,NA
6,150,2,9,0,"kern",0.04190888164142,0.00217854305663727,NA,NA,NA,NA,NA,NA
6,150,2,9,0,"spline",0.0466819481326234,0.00189451043267139,NA,NA,NA,NA,NA,NA
6,150,3,21,1,"cltn",0.0240682232554909,0.000532828358146177,0.911974,0.645272,NA,1,1,NA
6,150,3,21,1,"ordn",0.0240682232554909,0.000532828358146177,0.948518,0.6979015,NA,1,1,NA
6,150,3,21,1,"clt",0.0107554693590928,0.000105263853312015,0.8617475,0.6416525,201.31833,1,1,1
6,150,3,21,1,"ord",0.0318900058404533,0.000933377448279651,0.876464,0.6567235,178.898,1,1,1
6,150,3,21,1,"ind",0.023577820764557,0.000516084306330889,0.279776,0.2780555,NA,1,1,NA
6,150,3,21,1,"kern",0.044971750539285,0.00244715848762324,NA,NA,NA,NA,NA,NA
6,150,3,21,1,"spline",0.0614269795175835,0.00358930026901761,NA,NA,NA,NA,NA,NA
6,500,1,3,0,"cltn",0.012424130893529,0.00016070816393699,0.5445345,0.587164,NA,1,1,NA
6,500,1,3,0,"ordn",0.012424130893529,0.00016070816393699,0.5478555,0.573486,NA,1,1,NA
6,500,1,3,0,"clt",0.0196006973039909,0.000386305393815696,0.5419785,0.578621,2221.0058,1,1,1
6,500,1,3,0,"ord",0.0128689144567487,0.0001340899622679,0.576504,0.6165615,2226.1494,1,1,1
6,500,1,3,0,"ind",0.0413644557710525,0.0019381878329036,1.789447,2.881802,NA,1,1,NA
6,500,1,3,0,"kern",0.0241241707544915,0.000700500330687768,NA,NA,NA,NA,NA,NA
6,500,1,3,0,"spline",0.115463393423519,0.0129086846439216,NA,NA,NA,NA,NA,NA
6,500,2,9,0,"cltn",0.0460540722010596,0.00188535593919771,0.5106285,0.4408455,NA,1,1,NA
6,500,2,9,0,"ordn",0.0460540722010596,0.00188535593919771,0.529426,0.4273655,NA,1,1,NA
6,500,2,9,0,"clt",0.0399437697369911,0.0014067588405989,0.42812,0.346976,1354.34355,1,1,1
6,500,2,9,0,"ord",0.0310799980440123,0.000835367171192511,0.4422205,0.3661035,1377.8308,1,1,1
